Draft,player,
269, Dwayne Haskins Jr,
270, Justin Herbert,
271, Van Jefferson,
272, Phillip Dorsett II,
273, Tyler Johnson,
274, Andy Isabella,
275, Jakobi Meyers,
276, Rex Burkhead,
277, Dion Lewis,
278, Frank Gore,
279, Peyton Barber,
280, Royce Freeman,
281, Trayveon Williams,
282, Reggie Bonnafon,
283, Mike Davis,
284, Trey Quinn,
285, Lions D/ST,
286, Chiefs D/ST,
287, Joey Slye,
288, Brandon McManus,
289, Will Dissly,
290, Gerald Everett,
291, Dan Arnold,
292, C.J. Uzomah,
293, O.J. Howard,
294, Miles Boykin,
295, Damiere Byrd,
296, Nick Foles,
297, Browns D/ST,
298, Eagles D/ST,
299, Jets D/ST,
300, Titans D/ST,
